Quais marcas de projéteis você utiliza ou recomenda atualmente?;
;
Marcas;
  CBC;57,25
  NÃO SABE A MARCA;14
  MORIGI;13,75
  Outros;9,5
  BUFALO;9,5
  LYON;7,5
  MARCONDES;7,25
  EAGLE;6
  FEDERAL;2,75
  PRECISION;2,5
  MQ;2
  HORNADY;1,25
  HUNTER;0,75
  UAI;0,75
