Quais modalidades você pratica ou atende com maior frequência?
""
Modalidade
  Tiro esportivo de precisão
  Treinamento / recreativo
  IPSC / dinâmico
  Treinamento tático / profissional
  Competição
  Não informou
  Air Soft
  Tiro ao Prato (TRAP)
