Em quais condições você consideraria testar um novo projétil de uma marca que ainda não conhece?
""
Condição
  Se o preço fosse mais competitivo
  Amostra gratuita
  Após testes práticos em treino
  Se o desempenho fosse comprovado por testes comparativos
  Com recomendação técnica (instrutor, clube ou especialista)
  Se estivesse disponível na loja/clube que confio
  Não costumo testar marcas novas
  Produto regulamentado
  Não respondeu
  Ofereça vida útil ao armamento
  Segurança do projétil
