Qual tipo de projétil que hoje você sente falta ou não encontra facilmente?
""
Projéteis
  Não informou
  .308
  IMPORTADOS
  9MM | 9 MM PLANA
  .40
  CANTO VIVO
  PONTA OCA
  7.62
  7.65
  FUZIL
  .357
  .70
  300 BLACKOUT
  AQUILA
  CHUMBO CRU
  ENCAMISADO
  ENJAQUETADOS
  FEDERAL
  FMJ
  FRANGÍVEL
  JAQUETADO
  PONTA PLANA
  PRATA
  SIERRA
  TREINO
  WINCHESTER
